항목,2018/12(IFRS연결),2019/12(IFRS연결),2020/12(IFRS연결),2021/12(IFRS연결),2022/12(IFRS연결),2023/12(E)(IFRS연결),전년대비(2022),전년대비(2023)
EPS,-851,-321,185,172,297,,73, 
 당기순이익(지배)＜당기＞,-187.7,-70.8,40.8,37.9,66.0,, , 
 보통주수정평균발행주식수＜당기＞,"22,055,945","22,055,945","22,055,945","22,055,945","22,211,127","22,510,260", , 
 우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
BPS,"1,482","1,380","1,628","1,872","2,422",,29, 
 자본총계(지배)＜당기＞,326.9,304.4,359.0,412.8,545.2,, , 
 보통주수정기말발행주식수(자사주차감)＜당기＞,"22,055,431","22,055,431","22,055,431","22,055,431","22,509,746","22,509,746", , 
 우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
CPS,-396,194,22,272,229,,-16, 
 영업활동현금흐름＜당기＞,-87.3,42.9,4.9,59.9,50.8,, , 
 보통주수정평균발행주식수＜당기＞,"22,055,945","22,055,945","22,055,945","22,055,945","22,211,127","22,510,260", , 
 우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
SPS,"1,612","1,606","1,577","2,203","2,290",,4, 
 매출액＜당기＞,355.6,354.2,347.9,485.8,508.7,, , 
 보통주수정평균발행주식수＜당기＞,"22,055,945","22,055,945","22,055,945","22,055,945","22,211,127","22,510,260", , 
 우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
PER,N/A,N/A,15.08,68.42,22.60,,-66.97, 
 보통주수정주가(기말)＜당기＞,"4,150","3,780","2,790","11,750","6,720","22,900", , 
 EPS＜당기＞,-851,-321,185,172,297,, , 
PBR,2.80,2.74,1.71,6.28,2.77,,-55.81, 
 보통주수정주가(기말)＜당기＞,"4,150","3,780","2,790","11,750","6,720","22,900", , 
 BPS＜당기＞,"1,482","1,380","1,628","1,872","2,422",, , 
PCR,-10.49,19.45,124.76,43.26,29.36,,-32.14, 
 보통주수정주가(기말)＜당기＞,"4,150","3,780","2,790","11,750","6,720","22,900", , 
 CPS＜당기＞,-396,194,22,272,229,, , 
PSR,2.57,2.35,1.77,5.33,2.93,,-45.00, 
 보통주수정주가(기말)＜당기＞,"4,150","3,780","2,790","11,750","6,720","22,900", , 
 SPS＜당기＞,"1,612","1,606","1,577","2,203","2,290",, , 
EV/EBITDA,-9.24,-45.52,-43.65,46.18,29.50,,-36.11, 
 EV＜당기＞,"1,189.6",977.4,667.9,"2,583.2","1,472.5",, , 
 EBITDA＜당기＞,-128.8,-21.5,-15.3,55.9,49.9,, , 
DPS,0,0,0,0,0,, , 
 현금DPS,0,0,0,0,0,, , 
 주식DPS,0,0,0,0,0,, , 
 현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
 현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
